,Energy (eV),Co-s,Co-py,Co-pz,Co-px,Co-xy,Co-yz,Co-z2,Co-xz,Co-x2-y2,Li-s,Li-py,Li-pz,Li-px,Li-xy,Li-yz,Li-z2,Li-xz,Li-x2-y2,O1-s,O1-py,O1-pz,O1-px,O1-xy,O1-yz,O1-z2,O1-xz,O1-x2-y2,O2-s,O2-py,O2-pz,O2-px,O2-xy,O2-yz,O2-z2,O2-xz,O2-x2-y2
1369,-5.695027744097535,1.404653,0.719285,0.615455,0.719285,1.925982,0.86101,1.672969,0.86101,1.925982,1.697134,0.786245,1.045219,0.786245,0.058381,0.045637,0.106464,0.045637,0.058381,0.29713,4.630711,6.353576,4.630711,0.003741,0.011477,0.015666,0.011477,0.003741,0.29713,4.630712,6.353577,4.630712,0.003741,0.011477,0.015666,0.011477,0.003741
1370,-5.690492511408902,1.428584,0.734538,0.626143,0.734538,1.978534,0.875902,1.732991,0.875902,1.978534,1.742467,0.801818,1.063504,0.801818,0.059683,0.046724,0.109438,0.046724,0.059683,0.30476,4.713278,6.537187,4.713278,0.003835,0.011787,0.016075,0.011787,0.003835,0.30476,4.713278,6.537187,4.713278,0.003835,0.011787,0.016075,0.011787,0.003835
1371,-5.685957278720268,1.453963,0.749907,0.636847,0.749907,2.032746,0.891008,1.795562,0.891008,2.032746,1.789335,0.817574,1.082194,0.817574,0.061002,0.047863,0.1125,0.047863,0.061002,0.312602,4.797536,6.726326,4.797536,0.00393,0.012108,0.016497,0.012108,0.00393,0.312602,4.797536,6.726326,4.797536,0.00393,0.012108,0.016497,0.012108,0.00393
1372,-5.681422046031635,1.479012,0.764852,0.647196,0.764852,2.086397,0.905803,1.857556,0.905803,2.086397,1.835519,0.832868,1.100411,0.832868,0.062291,0.049005,0.115518,0.049005,0.062291,0.320344,4.879827,6.912792,4.879827,0.004022,0.012425,0.016913,0.012425,0.004022,0.320344,4.879827,6.912792,4.879827,0.004022,0.012425,0.016913,0.012425,0.004022
1373,-5.6768868133430015,1.50021,0.778296,0.656456,0.778296,2.135165,0.919221,1.912818,0.919221,2.135165,1.876673,0.846411,1.116416,0.846411,0.063453,0.050056,0.118236,0.050056,0.063453,0.327365,4.952908,7.080391,4.952908,0.004106,0.012714,0.017286,0.012714,0.004106,0.327365,4.952908,7.080391,4.952909,0.004106,0.012714,0.017286,0.012714,0.004106
1374,-5.672351580654368,1.515609,0.789532,0.664094,0.789532,2.176947,0.930573,1.95804,0.930573,2.176947,1.910593,0.857274,1.129098,0.857274,0.06443,0.050965,0.120515,0.050965,0.06443,0.333298,5.01237,7.219886,5.01237,0.004178,0.012959,0.017599,0.012959,0.004178,0.333298,5.012371,7.219886,5.012371,0.004178,0.012959,0.017599,0.012959,0.004178
1375,-5.667816347965735,1.524968,0.798269,0.669884,0.798269,2.211843,0.939676,1.992742,0.939676,2.211843,1.937282,0.865003,1.138052,0.865004,0.065222,0.051733,0.122323,0.051733,0.065222,0.338087,5.057122,7.329451,5.057122,0.004238,0.013158,0.01785,0.013158,0.004238,0.338087,5.057122,7.329451,5.057122,0.004238,0.013158,0.01785,0.013158,0.004238
1376,-5.663281115277101,1.52708,0.803695,0.673425,0.803695,2.238548,0.946265,2.013476,0.946265,2.238548,1.955489,0.868498,1.142158,0.868498,0.065836,0.052347,0.12348,0.052347,0.065836,0.341528,5.084173,7.400388,5.084173,0.004283,0.013299,0.018022,0.013299,0.004283,0.341528,5.084174,7.400389,5.084174,0.004283,0.013299,0.018022,0.013299,0.004283
1377,-5.6587458825884696,1.522632,0.805889,0.674783,0.805889,2.257704,0.950294,2.022224,0.950294,2.257704,1.966321,0.867862,1.141574,0.867862,0.066298,0.052806,0.124044,0.052806,0.066298,0.34375,5.094063,7.436371,5.094063,0.004314,0.013384,0.018122,0.013384,0.004314,0.34375,5.094063,7.436372,5.094063,0.004314,0.013384,0.018122,0.013384,0.004314
1378,-5.654210649899836,1.514025,0.805863,0.674493,0.805863,2.271978,0.951998,2.025844,0.951998,2.271978,1.972939,0.864462,1.137763,0.864462,0.066635,0.053127,0.124302,0.053127,0.066635,0.345192,5.090992,7.452845,5.090992,0.004336,0.013434,0.018183,0.013434,0.004336,0.345192,5.090992,7.452845,5.090992,0.004336,0.013434,0.018183,0.013434,0.004336
