E, eV	P1	P2	P3	E	P4
3.79663509902603	0.0280027212839452	0.0237635167772468	0.0218064876177189	2.50005	0.0283916451147961
3.89663509902603	0.0278222079955509	0.0236682959450046	0.0217171259155912	2.60005	0.0308817184592448
3.99663509902603	0.0276369459699364	0.0235647540130078	0.0216830136030694	2.70005	0.032462220832271
4.09663509902603	0.027504716616116	0.0234520331359211	0.021718660620858	2.80005	0.0332836270222111
4.19663509902603	0.0275975467695164	0.0233338220486871	0.0218057202650855	2.90005	0.033549672653136
4.29663509902603	0.0278472384362532	0.0232235031385398	0.0219145448203697	3.00005	0.0334695228517884
4.39663509902603	0.0281840924087406	0.0231416646935316	0.022030345308685	3.10005	0.0332135605829685
4.49663509902603	0.0284790962196619	0.0231101817697182	0.0221649808161842	3.20005	0.0328859805884283
4.59663509902603	0.0286841803935437	0.023151358345823	0.0223476107429369	3.30005	0.0325278919598268
4.69663509902603	0.0289069421246902	0.0232880131077706	0.022605162190443	3.40005	0.0321426558178655
4.79664509902603	0.0291945624151596	0.0235385897302746	0.022947192186955	3.50006	0.0317320819967686
4.89664509902603	0.0293863501248249	0.0239027450752009	0.0233621904429717	3.60006	0.0313178885072237
4.99664509902603	0.0293894138262573	0.024347280528065	0.0238238576909662	3.70006	0.0309424771796212
5.09664509902603	0.0301622018755543	0.0248098307329749	0.024302685734217	3.80006	0.0306498011308292
5.19664509902603	0.0307307635873705	0.0252276014113709	0.0247769096616672	3.90006	0.030462095467028
5.29664509902603	0.031061949712208	0.0255744282805198	0.0252405999302407	4.00006	0.0303695353738588
5.39664509902603	0.0312580266038787	0.0258781055292923	0.0257057551447506	4.10006	0.0303416122172602
5.49664509902603	0.0313876211744672	0.0262005695909125	0.0261976281827694	4.20006	0.0303527297703504
5.59664509902603	0.0315294705507852	0.0265972372740548	0.0267457970003488	4.30006	0.0304041807718606
5.69664509902603	0.0317822259189544	0.0270862948998322	0.0273723753051971	4.40006	0.0305213029009267
5.79664509902603	0.0322662907452664	0.0276505855615342	0.0280830833623997	4.50006	0.0307294338366843
5.89664509902603	0.0330006599786016	0.0282619719321561	0.0288629926752703	4.60006	0.0310262466494168
5.99664509902603	0.0337157278929131	0.0289004662153802	0.0296802929891873	4.70006	0.0313789057753464
6.09664509902603	0.0342629049687315	0.0295538012229087	0.0304978025810952	4.80006	0.0317478534092918
6.19664509902603	0.0345499737929431	0.0302048200480314	0.031286292291594	4.90006	0.0321152497567596
6.29664509902603	0.0347031588645608	0.0308319049882931	0.0320325078479247	5.00006	0.0324929880140786
6.39664509902603	0.034918230705112	0.0314257913140705	0.0327381234740146	5.10006	0.0329043374784144
6.49664509902603	0.0353204947031801	0.0320073246670164	0.0334144401813743	5.20006	0.0333611913460959
6.59664509902603	0.0358973896828924	0.0326210272200441	0.0340783397279386	5.30006	0.0338570859234661
6.69664509902603	0.0366430946115274	0.0333026711236447	0.0347493547261946	5.40006	0.0343809036574349
6.79664509902603	0.0374289340289262	0.0340476240130062	0.0354452738053715	5.50006	0.0349383325984204
6.89664509902603	0.0381743325874179	0.0348091333173433	0.0361734216951517	5.60006	0.0355541933300658
6.99664509902603	0.0388075996734855	0.0355304096754446	0.03692584583188	5.70006	0.0362548577224919
7.09664509902603	0.0392956473116595	0.0361829726221712	0.037684269271015	5.80006	0.0370369646549971
7.19664509902603	0.0396911711665764	0.0367784030695525	0.0384331356818975	5.90006	0.0378519071512802
7.29664509902603	0.0400183744795518	0.0373474118805998	0.0391674921520753	6.00006	0.0386205696009786
7.39665509902603	0.0403422077209517	0.0379098152825638	0.0398865713289152	6.10007	0.0392772808765367
7.49665509902603	0.0407248640298527	0.038462010325035	0.0405799790722009	6.20007	0.039813508902327
7.59665509902603	0.0411648115555387	0.0389898425599777	0.0412195326124869	6.30007	0.0402858756347855
7.69665509902603	0.0415627863716015	0.0394865350092411	0.0417690268573422	6.40007	0.0407791847346929
7.79665509902603	0.0417827601344445	0.0399562911149693	0.042203139169864	6.50007	0.0413500581584851
7.89665509902603	0.0417692798481422	0.0403998829379644	0.0425183118242065	6.60007	0.0419941005944753
